Year,index_nsa,"City, State",Population,Violent Crimes,Homicides,Rapes,Assaults,Robberies
,,,,,,,,
1978,44.715,"Chicago, IL",3086699,27686,787,1341,10325,15233
,,,,,,,,
1978,50.7475,"Cincinnati, OH",405324,3303,57,287,1659,1300
,,,,,,,,
1978,51.83,"Cleveland, OH",614512,9697,213,507,2623,6354
,,,,,,,,
1978,46.18,"Columbus, OH",578338,3353,67,309,1054,1923
,,,,,,,,
1978,56.78,"Dallas, TX",871832,9884,230,822,4997,3835
,,,,,,,,
1978,45.74,"Aurora, CO",131499,831,12,83,504,232
,,,,,,,,
1978,45.74,"Denver, CO",485547,4877,97,577,1841,2362
,,,,,,,,
1978,45.4925,"Detroit, MI",1294359,21602,498,1288,7533,12283
,,,,,,,,
1978,59.025,"Arlington, TX",121750,450,6,43,269,132
,,,,,,,,
1978,55.735,"Fresno, CA",194774,1997,42,114,739,1102
,,,,,,,,
1978,24.7075,"Honolulu, HI",725259,2044,38,187,346,1473
,,,,,,,,
1978,73.6775,"Houston, TX",1486489,10852,484,1098,1918,7352
,,,,,,,,
1978,46.83,"Indianapolis, IN",513271,3733,76,341,1353,1963
,,,,,,,,
1978,52.39,"Jacksonville, FL",523199,4368,79,278,2664,1347
,,,,,,,,
1978,46.0725,"Louisville, KY",,,,,,
,,,,,,,,
1978,52.2375,"Memphis, TN",683112,5412,113,664,1738,2897
,,,,,,,,
1978,42.7025,"Miami, FL",330060,6272,96,207,3137,2832
,,,,,,,,
1978,51.8425,"Milwaukee, WI",623657,2438,48,288,890,1212
,,,,,,,,
1978,49.4625,"Minneapolis, MN",374800,3098,26,307,1077,1688
,,,,,,,,
1978,31.0425,"Newark, NJ",325679,6843,109,315,2737,3682
,,,,,,,,
1978,34.9975,"Oakland, CA",327756,5374,97,351,2152,2774
,,,,,,,,
1978,51.135,"Omaha, NE",364446,1856,24,162,792,878
,,,,,,,,
1978,46.16333333,"Orlando, FL",118393,1620,13,107,1090,410
,,,,,,,,
1978,39.225,"Philadelphia, PA",1885533,12369,352,724,4224,7069
,,,,,,,,
1978,51.5325,"Mesa, AZ",124937,493,4,40,328,121
,,,,,,,,
1978,51.5325,"Phoenix, AZ",696763,5401,88,463,2819,2031
,,,,,,,,
1978,53.725,"Pittsburgh, PA",479443,4818,66,231,1475,3046
,,,,,,,,
1978,43.115,"Portland, OR",362497,4017,34,371,1838,1774
,,,,,,,,
1978,41.2325,"Raleigh, NC",150124,645,12,48,412,173
,,,,,,,,
1978,40.7525,"Sacramento, CA",261465,3198,61,218,1337,1582
,,,,,,,,
1978,36.36,"Seattle, WA",489961,4900,54,360,2229,2257
,,,,,,,,
1978,50.8425,"Tampa, FL",263175,3510,41,253,2136,1080
,,,,,,,,
1978,43.82,"Tucson, AZ",309200,1654,26,155,889,584
,,,,,,,,
1978,64.63,"Tulsa, OK",356000,2160,45,193,1313,609
,,,,,,,,
1978,39.75,"Washington, DC",674000,9515,189,447,2546,6333
,,,,,,,,
1978,63.65,"Wichita, KS",260642,1231,25,133,531,542
,,,,,,,,
1979,49.415,"Albuquerque, NM",302120,2679,47,215,1602,815
,,,,,,,,
1979,50.84,"Atlanta, GA",423103,10715,231,656,4639,5189
,,,,,,,,
1979,55.4475,"Austin, TX",337727,1495,43,216,659,577
,,,,,,,,
1979,46.07,"Baltimore, MD",790901,15523,245,564,6232,8482
,,,,,,,,
1979,32.59,"Boston, MA",599582,11392,92,464,4236,6600
,,,,,,,,
1979,48.705,"Buffalo, NY",383915,3857,52,265,1582,1958
,,,,,,,,
1979,49.3475,"Charlotte, NC",300569,2485,50,115,1617,703
,,,,,,,,
1979,46.3275,"Chicago, IL",3060801,27807,856,1655,10832,14464
,,,,,,,,
1979,57.24,"Cincinnati, OH",404661,3808,50,282,1814,1662
,,,,,,,,
1979,56.8775,"Cleveland, OH",601381,9736,274,612,3090,5760
,,,,,,,,
1979,51.9975,"Columbus, OH",534052,4242,69,423,1305,2445
,,,,,,,,
1979,68.0825,"Dallas, TX",882225,11453,307,983,5707,4456
,,,,,,,,
1979,53.76,"Aurora, CO",134224,1033,9,78,595,351
,,,,,,,,
1979,53.76,"Denver, CO",486407,5118,66,626,2169,2257
,,,,,,,,
1979,55.5925,"Detroit, MI",1258924,21021,452,1369,7787,11413
,,,,,,,,
1979,70.145,"Arlington, TX",130265,626,11,52,373,190
,,,,,,,,
1979,64.4725,"Fresno, CA",194849,1976,43,148,776,1009
,,,,,,,,
1979,31.015,"Honolulu, HI",734368,2196,48,223,357,1568
,,,,,,,,
1979,83.0125,"Houston, TX",1619644,14216,654,1481,2770,9311
,,,,,,,,
1979,53.6475,"Indianapolis, IN",513877,4178,92,439,1594,2053
,,,,,,,,
1979,54.94,"Jacksonville, FL",546419,4903,73,372,2903,1555
,,,,,,,,
1979,51.4275,"Louisville, KY",,,,,,
